username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Olivia Bryant,1270125035655593984,"Seattle, WA",2023-01-24 17:55:23,"@waynekramer @hahnscratch @DrGaborMate 1/3
The problem is capitalism. When people use drugs and become homeless… th… https://t.co/qNkvb2QSrU",0,Twitter for iPhone,
Blujay,1586060822270222336,"Seattle, Washington",2023-01-24 17:54:32,@Scott_Jurk_FMS @LakotaMan1 CRT is ONLY taught in post college level courses for those who choose. Teachers have sp… https://t.co/SckzmLbrNj,0,Twitter Web App,
Kara🏳️‍⚧️ (Rejuvenation Arc),17272619,Unceded Duamish Land (Seattle),2023-01-24 17:53:46,"@Celesticbees I had always been a big old comic book nerd, and a big fan of the Superman family. When Kara Zor-El c… https://t.co/02E2i2Zg5V",0,Twitter for Android,
Justin McPherren,361484555,"Kirkland, WA",2023-01-24 17:49:20,"@joebags24 Too many to count.  The Electoral College, Senate representation (i.e. only 2 per state -- e.g. Californ… https://t.co/lu8xA0KScD",0,Twitter for Android,
austin 🍵,380147402,"Seattle, WA",2023-01-24 17:47:01,"Not a biased take at all, definitely not influenced by where Joel played college football at https://t.co/C73tLqsCdi",0,Twitter for iPhone,
Dan Raley,304967071,Seattle,2023-01-24 17:40:33,Rome Odunze had reason to return to the UW. He wanted to double his 2021 receiving stats last season. Here's what h… https://t.co/LXpEWKm1Qy,0,Twitter Web App,
Dan Raley,915438553428922368,Seattle,2023-01-24 17:40:23,Rome Odunze had reason to return to the UW. He wanted to double his 2021 receiving stats last season. Here's what h… https://t.co/1bkarIg5zs,0,Twitter Web App,
Talents West,1074791894377410560,"5800 4th ave s, seattle Wa 98108",2023-01-24 17:27:34,"No easier way to make #money for #college than dancing, Talents West has openings for #adult entertainers! The offi… https://t.co/7eKhPMjd0F",3,Twitter for iPhone,
Martha🇬🇭,1114973472004771840,"Lynnwood, WA",2023-01-24 17:27:06,The way I’ve been taking mental health breaks are dangerous bro😭. I need to go back to school 💀. Mind u I’m in dual… https://t.co/xFlZslHhzr,0,Twitter for iPhone,
Mike T,958939719148085248,"Seattle, WA",2023-01-24 17:19:42,@JayExci my college intramural leagues were pretty competitive,0,Twitter Web App,
superGraphics,160687861,"Seattle, WA",2023-01-24 17:18:29,Confused where to go? You won't be at Edmonds College with their new wayfinding signage! You'll always know where y… https://t.co/BAaRKUjbQl,0,Twitter Web App,
Blujay,1586060822270222336,"Seattle, Washington",2023-01-24 17:12:31,"@Scott_Jurk_FMS @LakotaMan1 Most subjects have curriculum, standards w/ tests and textbooks that are used to teach… https://t.co/dANN2P7wN3",0,Twitter Web App,
Blujay,1586060822270222336,"Seattle, Washington",2023-01-24 17:07:27,@Scott_Jurk_FMS @LakotaMan1 1619 project was meant to shed light on new information about the black experience. It… https://t.co/DOsnQSKknu,0,Twitter Web App,
🌵 Riri 🌵 🍆🔞 SMAUs 📌,1529994060768870412,the sea,2023-01-24 16:59:49,My biology professor had to stop doing the chromosome lab in college because too many people found out they were in… https://t.co/k25qxdTuRo,12,Twitter Web App,
ArtsJournal,36346876,"Seattle, WA",2023-01-24 16:31:02,"Dallas Paper Tries Replacing Its Architecture Critic With Artificial Intelligence:

https://t.co/18TxAokdUF #arts… https://t.co/cCcRWnba4v",0,ArtsJournal feed,
john speranza,14620321,"Seattle, WA",2023-01-24 16:27:18,If you wonder why some people from my annoying-as-hell generation are nostalgic for college maybe it’s not “walkabl… https://t.co/m2AqCbAEsf,0,Twitter Web App,
Grant Bronsdon,202486217,"Seattle, WA",2023-01-24 16:27:04,"@MattBrownEP As a Yale person who WOULD be a single-issue voter in Congress (and that issue is college football), i… https://t.co/pMLgPA1gOr",0,Twitter for iPhone,
"Rev. Jesus ""H"" Christ",1088165183220965376,"Seattle, WA",2023-01-24 16:23:33,I’m a Journalist who’s got a pet raccoon. I led my college’s curling team to the championship! https://t.co/R8kJP6LWa0,0,Twitter for iPhone,
Jason Rimkus,294972572,"Redmond, Wa.",2023-01-24 16:19:43,"Talk about getting your blood flowing!

Going to a 6:30am #bothellfootball lift and seeing 80+ kids getting after i… https://t.co/1rY0m2vnb4",3,Twitter for iPhone,
