username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Bob Byer,749269938154725376,"New York, NY",2023-01-25 00:50:57,"@ItsJust__E @KnickTake Mike Brown may be a genius. I’m glad Fox went with the flow. After so many years of losing,… https://t.co/MNPlBB2iTe",0,Twitter for iPhone,
chris evans,33913156,"New York, NY",2023-01-25 00:50:21,"Vanderpump Rules has been overdue for a cast reboot for years. Seeing people who are 45 years old get drunk, sleep… https://t.co/qXlEkZ29gl",3,Twitter for iPhone,
so….what now?,3041075369,"Long Island City, Queens",2023-01-25 00:49:32,the chokehold this had on me in college 😭😭😭😭 https://t.co/FY7X7TtRkJ,0,Twitter for iPhone,
Kris Torres,1602226326576005123,"Yonkers, NY",2023-01-25 00:49:15,@PFF_College Richardson he’s bigger faster stronger and younger. He got more down side too sadly tho,1,Twitter for iPhone,
Renée Nicole 🤸🏾‍♀️,2919541509,"Brooklyn, NY",2023-01-25 00:48:55,"Just got details about the the death of my college friend. He was doing the thing he loved to, travel. He was robbe… https://t.co/CWYksiuRak",2,Twitter for iPhone,
Joe Kennedy,23574166,"New York, USA",2023-01-25 00:48:43,@Muskrat__ Finish college.  Focus.,0,Twitter for Android,
tian 天 🌻,24837970,"New York, USA",2023-01-25 00:45:10,@renegadesilicon Wolfram is the OG. Mathematica is ahead of it’s time and much more elegant than Matlab. Prolly sho… https://t.co/zemxtYiaVd,0,Twitter for iPhone,
alyssa,1022181147990745094,New York,2023-01-25 00:44:26,@SAINT4POTUS that’s that freshman yr of college drunk fr😂😂😂😂 broke trynna get lit fr,0,Twitter for iPhone,
Jon Rothstein,85605195,NYC,2023-01-25 00:42:48,"Coming up AT THE HALF on @CBSSportsNet, me, Brent Stover, @Gillenhoops, and @CWalkerSports bring you the latest in… https://t.co/BIN6waiCUo",1,TweetDeck,
Maxim Ibadov,1263203073264168962,"Brooklyn, NY",2023-01-25 00:42:22,Recently had a conversation with somebody who bullied me in college (they tried but I could handle it) but still fo… https://t.co/qdLAcdl8wq,0,Twitter for iPhone,
2aDays,2896793564,"New York, NY",2023-01-25 00:42:21,College athletes are use to comparison - it's an unfortunate part of being in a competitive space. While comparison… https://t.co/dKyRq8GauP,0,Sprout Social,
Lauren,211278154,"New York, USA",2023-01-25 00:41:50,"@kathrynw5 This is like one of my favorite college bars, which was aptly named “the library”.",0,Twitter for iPhone,
Dan Hobert,21277077,New York ,2023-01-25 00:40:17,@blazer_vegas Oh you meant college lmao,0,Twitter for iPhone,
The New York Times,807095,New York City,2023-01-25 00:40:06,"""We made this as poor college graduates in small apartments with friends. It is indeed delicious."" 

Purists will a… https://t.co/TNkuAX24Kh",12,SocialFlow,
Somnus☕️🥞（左右固定）,1182912419472891904,"New York, NY",2023-01-25 00:38:41,college really kills me I hate coding,0,Twitter for iPhone,
Jem Finch,705223732353171458,"New York, USA",2023-01-25 00:34:18,@JohnnyRicciardi @CBKReport @XavierMBB @PCFriarsmbb @CofCBasketball @AuburnMBB @DukeMBB @CycloneMBB @KStateMBB… https://t.co/NDa3qKlGU8,0,Twitter for iPhone,
Aidan🎗Win It For Zeke🎗,1224521219334135808,"New York, USA",2023-01-25 00:33:43,@UnoEtienneLover @TrolledByMatt Just go to community college for a year (or two) and transfer,0,Twitter for iPhone,
What You Expect?,1080666069134700544,"New York, NY",2023-01-25 00:33:18,Hansel Enmanuel scores his first three in college 🔥🏀 https://t.co/JnZ1zlkrEl,3,Twitter for iPhone,
Christine,21380209,New York,2023-01-25 00:22:09,@milhistbuff3 I'd say fairly standard journal size. Probably slightly less than college ruled.,0,Twitter for Android,
D-III Hockey News™,806649024237412352,"New York, USA",2023-01-25 00:21:08,"Friend of the podcast @luciani1998 

https://t.co/xCczDqx2BY https://t.co/XW8nW2Pitb",0,Twitter for iPhone,
